GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_030E
1400000US36005036400,"Census Tract 364, Bronx County, New York",2618,98,414
1400000US36005036501,"Census Tract 365.01, Bronx County, New York",3986,268,416
1400000US36005036502,"Census Tract 365.02, Bronx County, New York",2482,99,153
1400000US36005036700,"Census Tract 367, Bronx County, New York",2140,148,139
1400000US36005036800,"Census Tract 368, Bronx County, New York",2204,173,299
1400000US36005036901,"Census Tract 369.01, Bronx County, New York",2041,179,216
1400000US36005036902,"Census Tract 369.02, Bronx County, New York",2086,224,209
1400000US36005037000,"Census Tract 370, Bronx County, New York",2316,74,327
1400000US36005037100,"Census Tract 371, Bronx County, New York",4242,287,760
1400000US36005037200,"Census Tract 372, Bronx County, New York",2174,114,295
1400000US36005037300,"Census Tract 373, Bronx County, New York",6191,566,509
1400000US36005037400,"Census Tract 374, Bronx County, New York",3692,244,421
1400000US36005037504,"Census Tract 375.04, Bronx County, New York",3361,319,321
1400000US36005037600,"Census Tract 376, Bronx County, New York",2267,147,377
1400000US36005037800,"Census Tract 378, Bronx County, New York",3150,233,278
1400000US36005037900,"Census Tract 379, Bronx County, New York",5548,736,380
1400000US36005038000,"Census Tract 380, Bronx County, New York",5245,311,706
1400000US36005038100,"Census Tract 381, Bronx County, New York",7876,811,747
1400000US36005038200,"Census Tract 382, Bronx County, New York",3017,214,479
1400000US36005038301,"Census Tract 383.01, Bronx County, New York",5034,323,309
1400000US36005038303,"Census Tract 383.03, Bronx County, New York",3701,218,423
1400000US36005038304,"Census Tract 383.04, Bronx County, New York",2398,172,117
1400000US36005038500,"Census Tract 385, Bronx County, New York",4399,486,295
1400000US36005038600,"Census Tract 386, Bronx County, New York",9481,834,1677
1400000US36005038700,"Census Tract 387, Bronx County, New York",3679,334,178
1400000US36005038800,"Census Tract 388, Bronx County, New York",2888,216,463
1400000US36005038900,"Census Tract 389, Bronx County, New York",5331,403,269
1400000US36005039000,"Census Tract 390, Bronx County, New York",2853,104,195
1400000US36005039100,"Census Tract 391, Bronx County, New York",7559,491,846
1400000US36005039200,"Census Tract 392, Bronx County, New York",1648,124,121
1400000US36005039300,"Census Tract 393, Bronx County, New York",8150,579,794
1400000US36005039400,"Census Tract 394, Bronx County, New York",5369,687,593
1400000US36005039500,"Census Tract 395, Bronx County, New York",4157,316,366
1400000US36005039600,"Census Tract 396, Bronx County, New York",4519,298,631
1400000US36005039700,"Census Tract 397, Bronx County, New York",3603,50,307
1400000US36005039800,"Census Tract 398, Bronx County, New York",4152,387,414
1400000US36005039901,"Census Tract 399.01, Bronx County, New York",5639,471,562
1400000US36005039902,"Census Tract 399.02, Bronx County, New York",5574,644,283
1400000US36005040100,"Census Tract 401, Bronx County, New York",4597,381,372
1400000US36005040302,"Census Tract 403.02, Bronx County, New York",5125,578,565
1400000US36005040303,"Census Tract 403.03, Bronx County, New York",4335,330,495
1400000US36005040304,"Census Tract 403.04, Bronx County, New York",3215,379,196
1400000US36005040400,"Census Tract 404, Bronx County, New York",3514,194,508
1400000US36005040501,"Census Tract 405.01, Bronx County, New York",4128,425,491
1400000US36005040502,"Census Tract 405.02, Bronx County, New York",7293,517,718
1400000US36005040600,"Census Tract 406, Bronx County, New York",3613,242,596
1400000US36005040701,"Census Tract 407.01, Bronx County, New York",3101,220,316
1400000US36005040702,"Census Tract 407.02, Bronx County, New York",6641,640,935
1400000US36005040800,"Census Tract 408, Bronx County, New York",4709,275,363
1400000US36005040900,"Census Tract 409, Bronx County, New York",3292,77,569
1400000US36005041100,"Census Tract 411, Bronx County, New York",3565,331,447
1400000US36005041300,"Census Tract 413, Bronx County, New York",8904,686,504
1400000US36005041400,"Census Tract 414, Bronx County, New York",5206,225,865
1400000US36005041500,"Census Tract 415, Bronx County, New York",6103,455,712
1400000US36005041800,"Census Tract 418, Bronx County, New York",3555,70,363
1400000US36005041900,"Census Tract 419, Bronx County, New York",6090,402,396
1400000US36005042000,"Census Tract 420, Bronx County, New York",4260,365,505
1400000US36005042100,"Census Tract 421, Bronx County, New York",5522,642,439
1400000US36005042200,"Census Tract 422, Bronx County, New York",2864,162,484
1400000US36005042300,"Census Tract 423, Bronx County, New York",4033,272,396
1400000US36005042400,"Census Tract 424, Bronx County, New York",2608,137,394
1400000US36005042500,"Census Tract 425, Bronx County, New York",6248,222,379
1400000US36005042600,"Census Tract 426, Bronx County, New York",7161,243,1367
1400000US36005042800,"Census Tract 428, Bronx County, New York",1976,128,701
1400000US36005042901,"Census Tract 429.01, Bronx County, New York",3224,300,284
1400000US36005042902,"Census Tract 429.02, Bronx County, New York",3865,297,357
1400000US36005043000,"Census Tract 430, Bronx County, New York",3496,162,497
1400000US36005043101,"Census Tract 431.01, Bronx County, New York",5693,387,734
1400000US36005043102,"Census Tract 431.02, Bronx County, New York",4615,234,694
1400000US36005043400,"Census Tract 434, Bronx County, New York",3796,151,542
1400000US36005043501,"Census Tract 435.01, Bronx County, New York",757,48,66
1400000US36005043502,"Census Tract 435.02, Bronx County, New York",0,0,0
1400000US36005043503,"Census Tract 435.03, Bronx County, New York",0,0,0
1400000US36005043600,"Census Tract 436, Bronx County, New York",1927,146,290
1400000US36005044200,"Census Tract 442, Bronx County, New York",4022,320,373
1400000US36005044400,"Census Tract 444, Bronx County, New York",4472,166,917
1400000US36005044800,"Census Tract 448, Bronx County, New York",2068,73,343
1400000US36005044901,"Census Tract 449.01, Bronx County, New York",1762,75,444
1400000US36005044902,"Census Tract 449.02, Bronx County, New York",2049,160,315
1400000US36005045101,"Census Tract 451.01, Bronx County, New York",1521,153,238
1400000US36005045102,"Census Tract 451.02, Bronx County, New York",2086,278,363
1400000US36005045600,"Census Tract 456, Bronx County, New York",3401,148,418
1400000US36005045800,"Census Tract 458, Bronx County, New York",5538,298,551
1400000US36005046000,"Census Tract 460, Bronx County, New York",3131,281,535
1400000US36005046203,"Census Tract 462.03, Bronx County, New York",7679,142,3166
1400000US36005046204,"Census Tract 462.04, Bronx County, New York",6569,259,1275
1400000US36005046205,"Census Tract 462.05, Bronx County, New York",2898,0,1009
1400000US36005046206,"Census Tract 462.06, Bronx County, New York",4137,0,1462
1400000US36005046207,"Census Tract 462.07, Bronx County, New York",6450,412,1307
1400000US36005046208,"Census Tract 462.08, Bronx County, New York",5586,303,1057
1400000US36005046209,"Census Tract 462.09, Bronx County, New York",4739,713,254
1400000US36005048401,"Census Tract 484.01, Bronx County, New York",4062,283,357
1400000US36005048402,"Census Tract 484.02, Bronx County, New York",0,0,0
1400000US36005050400,"Census Tract 504, Bronx County, New York",0,0,0
1400000US36005051601,"Census Tract 516.01, Bronx County, New York",4322,80,891
1400000US36005051602,"Census Tract 516.02, Bronx County, New York",0,0,0
1400000US36047000100,"Census Tract 1, Kings County, New York",4539,239,943
1400000US36047000200,"Census Tract 2, Kings County, New York",992,16,138
1400000US36047000301,"Census Tract 3.01, Kings County, New York",3642,282,738
1400000US36047000501,"Census Tract 5.01, Kings County, New York",4486,215,879
1400000US36047000502,"Census Tract 5.02, Kings County, New York",2654,161,484
1400000US36047000700,"Census Tract 7, Kings County, New York",3899,341,334
1400000US36047000900,"Census Tract 9, Kings County, New York",4654,338,388
1400000US36047001100,"Census Tract 11, Kings County, New York",1502,121,15
1400000US36047001300,"Census Tract 13, Kings County, New York",1917,69,479
1400000US36047001501,"Census Tract 15.01, Kings County, New York",4875,279,272
1400000US36047001502,"Census Tract 15.02, Kings County, New York",4654,291,125
1400000US36047001801,"Census Tract 18.01, Kings County, New York",1920,0,16
1400000US36047001802,"Census Tract 18.02, Kings County, New York",0,0,0
1400000US36047001803,"Census Tract 18.03, Kings County, New York",0,0,0
1400000US36047001804,"Census Tract 18.04, Kings County, New York",0,0,0
1400000US36047002000,"Census Tract 20, Kings County, New York",1503,43,96
1400000US36047002100,"Census Tract 21, Kings County, New York",5206,533,201
1400000US36047002200,"Census Tract 22, Kings County, New York",4284,333,707
1400000US36047002300,"Census Tract 23, Kings County, New York",4133,94,744
1400000US36047002901,"Census Tract 29.01, Kings County, New York",4528,305,429
1400000US36047003000,"Census Tract 30, Kings County, New York",1545,101,258
1400000US36047003101,"Census Tract 31.01, Kings County, New York",3468,285,618
1400000US36047003102,"Census Tract 31.02, Kings County, New York",0,0,0
1400000US36047003300,"Census Tract 33, Kings County, New York",4479,328,212
1400000US36047003400,"Census Tract 34, Kings County, New York",3306,336,508
1400000US36047003500,"Census Tract 35, Kings County, New York",2080,129,233
1400000US36047003600,"Census Tract 36, Kings County, New York",3465,186,825
1400000US36047003700,"Census Tract 37, Kings County, New York",2568,193,51
1400000US36047003800,"Census Tract 38, Kings County, New York",1335,133,278
1400000US36047003900,"Census Tract 39, Kings County, New York",2340,351,139
1400000US36047004100,"Census Tract 41, Kings County, New York",3606,444,451
1400000US36047004300,"Census Tract 43, Kings County, New York",3662,256,257
1400000US36047004400,"Census Tract 44, Kings County, New York",2328,136,556
1400000US36047004500,"Census Tract 45, Kings County, New York",3574,441,456
1400000US36047004600,"Census Tract 46, Kings County, New York",1282,69,265
1400000US36047004700,"Census Tract 47, Kings County, New York",1841,195,155
1400000US36047004900,"Census Tract 49, Kings County, New York",2660,190,530
