system_code,location_code,location_name,Managed_by_name,location_type_description,Location_Category_Description,Status_descriptions,primary_address_line_1,lon,lat
23K184,K184,P.S. 184 Newport,DOE,General Academic,K-8,Open,273 NEWPORT STREET,-73.905004,40.660385
20K185,K185,P.S. 185 Walter Kassenbrock,DOE,General Academic,Elementary,Open,8601 RIDGE BOULEVARD,-74.033429,40.623598
20K186,K186,P.S. 186 Dr. Irving A Gladstone,DOE,General Academic,Elementary,Open,7601 19 AVENUE,-73.994258,40.610917
20K187,K187,The Christa McAuliffe School\I.S. 187,DOE,General Academic,Junior High-Intermediate-Middle,Open,1171 65 STREET,-74.003883,40.627929
21K188,K188,P.S. 188 Michael E. Berdy,DOE,General Academic,Elementary,Open,3314 NEPTUNE AVENUE,-74.000489,40.576733
17K189,K189,P.S. 189 The Bilingual Center,DOE,General Academic,K-8,Open,1100 EAST NEW YORK AVENUE,-73.925435,40.665228
19K190,K190,P.S. 190 Sheffield,DOE,General Academic,Elementary,Open,590 SHEFFIELD AVENUE,-73.894877,40.662243
23K332,K332,P.S. 332 Charles H. Houston,DOE,General Academic,K-8,Closed,51 CHRISTOPHER AVENUE,-73.906018,40.672216
17K191,K191,P.S. 191 Paul Robeson,DOE,General Academic,Elementary,Open,1600 PARK PLACE,-73.924127,40.67173
20K192,K192,P.S. 192 - The Magnet School for Math and Science,DOE,General Academic,K-8,Open,4715 18 AVENUE,-73.97954,40.6288
22K193,K193,P.S. 193 Gil Hodges,DOE,General Academic,Elementary,Open,2515 AVENUE L,-73.950321,40.62208
22K194,K194,P.S. 194 Raoul Wallenberg,DOE,General Academic,Elementary,Open,3117 AVENUE W,-73.934163,40.598069
22K195,K195,P.S. 195 Manhattan Beach,DOE,General Academic,Elementary,Open,131 IRWIN STREET,-73.943498,40.580161
14K196,K196,P.S. 196 Ten Eyck,DOE,General Academic,Elementary,Open,207 BUSHWICK AVENUE,-73.939385,40.708804
22K197,K197,P.S. 197 - The Kings Highway Academy,DOE,General Academic,Elementary,Open,1599 EAST  22 STREET,-73.951398,40.612339
